county,precinct,office,district,candidate,party,votes
New York,008/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,414
New York,008/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,199
New York,008/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,14
New York,008/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,14
New York,008/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,25
New York,008/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
New York,008/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
New York,008/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
New York,008/65,President,NYC,Scattered,,2
New York,009/65,President,NYC,Manually Counted Emergency,,0
New York,009/65,President,NYC,Absentee / Military,,25
New York,009/65,President,NYC,Federal,,3
New York,009/65,President,NYC,Special Presidential,,0
New York,009/65,President,NYC,Affidavit,,21
New York,009/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,450
New York,009/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,60
New York,009/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
New York,009/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,11
New York,009/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,13
New York,009/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,9
New York,009/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
New York,009/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,12
New York,009/65,President,NYC,Scattered,,11
New York,010/65,President,NYC,Manually Counted Emergency,,0
New York,010/65,President,NYC,Absentee / Military,,33
New York,010/65,President,NYC,Federal,,9
New York,010/65,President,NYC,Special Presidential,,0
New York,010/65,President,NYC,Affidavit,,14
New York,010/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,541
New York,010/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,62
New York,010/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
New York,010/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,11
New York,010/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
New York,010/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,10
New York,010/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
New York,010/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,6
New York,010/65,President,NYC,Scattered,,7
New York,011/65,President,NYC,Manually Counted Emergency,,0
New York,011/65,President,NYC,Absentee / Military,,24
New York,011/65,President,NYC,Federal,,13
New York,011/65,President,NYC,Special Presidential,,0
New York,011/65,President,NYC,Affidavit,,19
New York,011/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,416
New York,011/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,52
New York,011/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,8
New York,011/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,6
New York,011/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,12
New York,011/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,11
New York,011/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
New York,011/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,7
New York,011/65,President,NYC,Scattered,,8
New York,012/65,President,NYC,Manually Counted Emergency,,0
New York,012/65,President,NYC,Absentee / Military,,36
New York,012/65,President,NYC,Federal,,5
New York,012/65,President,NYC,Special Presidential,,0
New York,012/65,President,NYC,Affidavit,,10
New York,012/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,420
New York,012/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,104
New York,012/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,7
New York,012/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
New York,012/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
New York,012/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
New York,012/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
New York,012/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,5
New York,012/65,President,NYC,Scattered,,3
New York,013/65,President,NYC,Manually Counted Emergency,,0
New York,013/65,President,NYC,Absentee / Military,,14
New York,013/65,President,NYC,Federal,,15
New York,013/65,President,NYC,Special Presidential,,0
New York,013/65,President,NYC,Affidavit,,11
New York,013/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,426
New York,013/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,93
New York,013/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,3
New York,013/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
New York,013/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,15
New York,013/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,10
New York,013/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
New York,013/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,10
New York,013/65,President,NYC,Scattered,,2
New York,014/65,President,NYC,Manually Counted Emergency,,0
New York,014/65,President,NYC,Absentee / Military,,49
New York,014/65,President,NYC,Federal,,17
New York,014/65,President,NYC,Special Presidential,,0
New York,014/65,President,NYC,Affidavit,,12
New York,014/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,520
New York,014/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,117
New York,014/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,12
New York,014/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,10
New York,014/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
New York,014/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,15
New York,014/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
New York,014/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,9
New York,014/65,President,NYC,Scattered,,11
New York,015/65,President,NYC,Manually Counted Emergency,,0
New York,015/65,President,NYC,Absentee / Military,,35
New York,015/65,President,NYC,Federal,,20
New York,015/65,President,NYC,Special Presidential,,0
New York,015/65,President,NYC,Affidavit,,12
New York,015/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,488
New York,015/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,89
New York,015/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,5
New York,015/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
New York,015/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,12
New York,015/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,9
New York,015/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,6
New York,015/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,5
New York,015/65,President,NYC,Scattered,,4
New York,016/65,President,NYC,Manually Counted Emergency,,0
New York,016/65,President,NYC,Absentee / Military,,60
New York,016/65,President,NYC,Federal,,19
New York,016/65,President,NYC,Special Presidential,,0
New York,016/65,President,NYC,Affidavit,,11
New York,016/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,668
New York,016/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,132
New York,016/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,10
New York,016/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,11
New York,016/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,16
New York,016/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,16
New York,016/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,6
New York,016/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,11
New York,016/65,President,NYC,Scattered,,8
New York,017/65,President,NYC,Manually Counted Emergency,,0
New York,017/65,President,NYC,Absentee / Military,,2
New York,017/65,President,NYC,Federal,,0
New York,017/65,President,NYC,Special Presidential,,0
New York,017/65,President,NYC,Affidavit,,1
New York,017/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,11
New York,017/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,1
New York,017/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
New York,017/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
New York,017/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,0
New York,017/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
New York,017/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
New York,017/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,018/65,President,NYC,Manually Counted Emergency,,0
New York,018/65,President,NYC,Absentee / Military,,6
New York,018/65,President,NYC,Federal,,3
New York,018/65,President,NYC,Special Presidential,,0
New York,018/65,President,NYC,Affidavit,,16
New York,018/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,328
New York,018/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,22
New York,018/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,3
New York,018/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
New York,018/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,17
New York,018/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
New York,018/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,6
New York,018/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,018/65,President,NYC,Scattered,,2
New York,019/65,President,NYC,Manually Counted Emergency,,0
New York,019/65,President,NYC,Absentee / Military,,12
New York,019/65,President,NYC,Federal,,1
New York,019/65,President,NYC,Special Presidential,,0
New York,019/65,President,NYC,Affidavit,,22
New York,019/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,356
New York,019/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,45
New York,019/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
New York,019/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
New York,019/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
New York,019/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
New York,019/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,7
New York,019/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,019/65,President,NYC,Scattered,,1
New York,020/65,President,NYC,Manually Counted Emergency,,0
New York,020/65,President,NYC,Absentee / Military,,12
New York,020/65,President,NYC,Federal,,0
New York,020/65,President,NYC,Special Presidential,,0
New York,020/65,President,NYC,Affidavit,,4
New York,020/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,331
New York,020/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,46
New York,020/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,6
New York,020/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
New York,020/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
New York,020/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
New York,020/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,5
New York,020/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
New York,020/65,President,NYC,Scattered,,4
New York,021/65,President,NYC,Manually Counted Emergency,,0
New York,021/65,President,NYC,Absentee / Military,,13
New York,021/65,President,NYC,Federal,,6
New York,021/65,President,NYC,Special Presidential,,0
New York,021/65,President,NYC,Affidavit,,15
New York,021/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,402
New York,021/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,54
New York,021/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,4
New York,021/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
New York,021/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,13
New York,021/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
New York,021/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,8
New York,021/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,021/65,President,NYC,Scattered,,1
New York,022/65,President,NYC,Manually Counted Emergency,,0
New York,022/65,President,NYC,Absentee / Military,,41
New York,022/65,President,NYC,Federal,,11
New York,022/65,President,NYC,Special Presidential,,0
New York,022/65,President,NYC,Affidavit,,6
New York,022/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,445
New York,022/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,126
New York,022/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,10
New York,022/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
New York,022/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,25
New York,022/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
New York,022/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
New York,022/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
New York,022/65,President,NYC,Scattered,,6
New York,023/65,President,NYC,Manually Counted Emergency,,3
New York,023/65,President,NYC,Absentee / Military,,15
New York,023/65,President,NYC,Federal,,4
New York,023/65,President,NYC,Special Presidential,,0
New York,023/65,President,NYC,Affidavit,,12
New York,023/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,266
New York,023/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,72
New York,023/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,6
New York,023/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
New York,023/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,8
New York,023/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
New York,023/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
New York,023/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,023/65,President,NYC,Scattered,,3
New York,024/65,President,NYC,Manually Counted Emergency,,0
New York,024/65,President,NYC,Absentee / Military,,13
New York,024/65,President,NYC,Federal,,3
New York,024/65,President,NYC,Special Presidential,,0
New York,024/65,President,NYC,Affidavit,,12
New York,024/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,342
New York,024/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,62
New York,024/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,3
New York,024/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
New York,024/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,13
New York,024/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
New York,024/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
New York,024/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
New York,024/65,President,NYC,Scattered,,3
New York,025/65,President,NYC,Manually Counted Emergency,,0
New York,025/65,President,NYC,Absentee / Military,,8
New York,025/65,President,NYC,Federal,,0
New York,025/65,President,NYC,Special Presidential,,0
New York,025/65,President,NYC,Affidavit,,5
New York,025/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,153
New York,025/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,92
New York,025/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
New York,025/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
New York,025/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,4
New York,025/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
New York,025/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
New York,025/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,025/65,President,NYC,Scattered,,6
New York,026/65,President,NYC,Manually Counted Emergency,,0
New York,026/65,President,NYC,Absentee / Military,,3
New York,026/65,President,NYC,Federal,,1
New York,026/65,President,NYC,Special Presidential,,0
New York,026/65,President,NYC,Affidavit,,7
New York,026/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,199
New York,026/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,65
New York,026/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,5
New York,026/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
New York,026/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
New York,026/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
New York,026/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
New York,026/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,026/65,President,NYC,Scattered,,1
New York,027/65,President,NYC,Manually Counted Emergency,,0
New York,027/65,President,NYC,Absentee / Military,,15
New York,027/65,President,NYC,Federal,,0
New York,027/65,President,NYC,Special Presidential,,0
New York,027/65,President,NYC,Affidavit,,9
New York,027/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,330
New York,027/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,150
New York,027/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,7
New York,027/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
New York,027/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,6
New York,027/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
New York,027/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
New York,027/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
New York,027/65,President,NYC,Scattered,,3
New York,028/65,President,NYC,Manually Counted Emergency,,0
New York,028/65,President,NYC,Absentee / Military,,8
New York,028/65,President,NYC,Federal,,0
New York,028/65,President,NYC,Special Presidential,,0
New York,028/65,President,NYC,Affidavit,,9
New York,028/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,209
New York,028/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,57
New York,028/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
New York,028/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
New York,028/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
New York,028/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
New York,028/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,6
New York,028/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,029/65,President,NYC,Manually Counted Emergency,,0
New York,029/65,President,NYC,Absentee / Military,,8
New York,029/65,President,NYC,Federal,,5
New York,029/65,President,NYC,Special Presidential,,0
New York,029/65,President,NYC,Affidavit,,7
New York,029/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,203
New York,029/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,43
New York,029/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,3
New York,029/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
New York,029/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,12
New York,029/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
New York,029/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
New York,029/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,029/65,President,NYC,Scattered,,2
New York,030/65,President,NYC,Manually Counted Emergency,,1
New York,030/65,President,NYC,Absentee / Military,,12
New York,030/65,President,NYC,Federal,,2
New York,030/65,President,NYC,Special Presidential,,0
New York,030/65,President,NYC,Affidavit,,10
New York,030/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,328
New York,030/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,105
New York,030/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
New York,030/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
New York,030/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
New York,030/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
New York,030/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
New York,030/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
New York,030/65,President,NYC,Scattered,,4
New York,031/65,President,NYC,Manually Counted Emergency,,0
New York,031/65,President,NYC,Absentee / Military,,13
New York,031/65,President,NYC,Federal,,3
New York,031/65,President,NYC,Special Presidential,,0
New York,031/65,President,NYC,Affidavit,,8
New York,031/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,386
New York,031/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,109
New York,031/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,4
New York,031/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,6
New York,031/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
New York,031/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
New York,031/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
New York,031/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,031/65,President,NYC,Scattered,,2
New York,032/65,President,NYC,Manually Counted Emergency,,0
New York,032/65,President,NYC,Absentee / Military,,25
New York,032/65,President,NYC,Federal,,8
New York,032/65,President,NYC,Special Presidential,,0
New York,032/65,President,NYC,Affidavit,,11
New York,032/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,472
New York,032/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,74
New York,032/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
New York,032/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,11
New York,032/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,24
New York,032/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
New York,032/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
New York,032/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,6
New York,032/65,President,NYC,Scattered,,5
New York,033/65,President,NYC,Manually Counted Emergency,,2
New York,033/65,President,NYC,Absentee / Military,,8
New York,033/65,President,NYC,Federal,,1
New York,033/65,President,NYC,Special Presidential,,0
New York,033/65,President,NYC,Affidavit,,20
New York,033/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,435
New York,033/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,68
New York,033/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,6
New York,033/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
New York,033/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,14
New York,033/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
New York,033/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
New York,033/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,033/65,President,NYC,Scattered,,3
New York,034/65,President,NYC,Manually Counted Emergency,,0
New York,034/65,President,NYC,Absentee / Military,,9
New York,034/65,President,NYC,Federal,,1
New York,034/65,President,NYC,Special Presidential,,0
New York,034/65,President,NYC,Affidavit,,11
New York,034/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,311
New York,034/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,53
New York,034/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,3
New York,034/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,6
New York,034/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,17
New York,034/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
New York,034/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
New York,034/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,034/65,President,NYC,Scattered,,1
New York,035/65,President,NYC,Manually Counted Emergency,,0
New York,035/65,President,NYC,Absentee / Military,,29
New York,035/65,President,NYC,Federal,,2
New York,035/65,President,NYC,Special Presidential,,0
New York,035/65,President,NYC,Affidavit,,16
New York,035/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,369
New York,035/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,57
New York,035/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,4
New York,035/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
New York,035/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
New York,035/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
New York,035/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
New York,035/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
New York,035/65,President,NYC,Scattered,,1
New York,036/65,President,NYC,Manually Counted Emergency,,0
New York,036/65,President,NYC,Absentee / Military,,0
New York,036/65,President,NYC,Federal,,0
New York,036/65,President,NYC,Special Presidential,,0
New York,036/65,President,NYC,Affidavit,,15
New York,036/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,325
New York,036/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,32
New York,036/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
New York,036/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
New York,036/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
New York,036/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
New York,036/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
New York,036/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
New York,036/65,President,NYC,Scattered,,1
New York,037/65,President,NYC,Manually Counted Emergency,,0
New York,037/65,President,NYC,Absentee / Military,,7
New York,037/65,President,NYC,Federal,,3
New York,037/65,President,NYC,Special Presidential,,0
New York,037/65,President,NYC,Affidavit,,11
New York,037/65,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,394
New York,037/65,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,50
New York,037/65,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,4
New York,037/65,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
New York,037/65,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,15
New York,037/65,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
New York,037/65,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,6
New York,037/65,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
New York,037/65,President,NYC,Scattered,,2
New York,038/65,President,NYC,Manually Counted Emergency,,0
New York,038/65,President,NYC,Absentee / Military,,16
